EDAD,SEXO,TALLA,DS3_,DS2_,DS1_,DS0,DS1,DS2,DS3
5,1,45.0,1.8,2.0,2.2,2.4,2.7,3.0,3.3
5,1,45.5,1.9,2.1,2.3,2.5,2.8,3.1,3.4
5,1,46.0,2.0,2.2,2.4,2.6,2.9,3.2,3.5
5,1,46.5,2.05,2.25,2.45,2.7,3.0,3.3,3.6
5,1,47.0,2.1,2.3,2.5,2.8,3.1,3.4,3.7
5,1,47.5,2.2,2.4,2.6,2.9,3.2,3.5,3.8
5,1,48.0,2.25,2.45,2.7,2.9,3.3,3.6,3.9
5,1,48.5,2.3,2.55,2.75,3.0,3.35,3.65,4.05
5,1,49.0,2.4,2.6,2.85,3.1,3.45,3.75,4.15
5,1,49.5,2.5,2.7,2.95,3.2,3.55,3.9,4.3
5,1,50.0,2.55,2.8,3.0,3.3,3.65,4.0,4.4
5,1,50.5,2.65,2.9,3.1,3.4,3.8,4.1,4.6
5,1,51.0,2.75,3.0,3.2,3.5,3.9,4.3,4.7
5,1,51.5,2.8,3.05,3.35,3.6,4.05,4.4,4.85
5,1,52.0,2.9,3.15,3.4,3.8,4.15,4.55,5.0
5,1,52.5,3.0,3.3,3.55,3.9,4.3,4.7,5.15
5,1,53.0,3.1,3.4,3.7,4.0,4.4,4.85,5.35
5,1,53.5,3.2,3.5,3.8,4.1,4.55,5.0,5.5
5,1,54.0,3.3,3.6,3.9,4.3,4.7,5.15,5.65
5,1,54.5,3.4,3.7,4.0,4.4,4.85,5.3,5.85
5,1,55.0,3.6,3.8,4.2,4.5,5.0,5.5,6.0
5,1,55.5,3.7,4.0,4.3,4.7,5.2,5.65,6.2
5,1,56.0,3.8,4.1,4.4,4.8,5.3,5.8,6.4
5,1,56.5,3.9,4.2,4.6,5.0,5.5,6.0,6.55
5,1,57.0,4.0,4.3,4.7,5.1,5.65,6.2,6.75
5,1,57.5,4.1,4.5,4.9,5.3,5.8,6.3,6.9
5,1,58.0,4.3,4.6,5.0,5.4,5.95,6.5,7.1
5,1,58.5,4.4,4.7,5.1,5.6,6.1,6.7,7.3
5,1,59.0,4.5,4.8,5.3,5.7,6.3,6.85,7.5
5,1,59.5,4.6,5.0,5.4,5.9,6.4,7.0,7.7
5,1,60.0,4.7,5.1,5.5,6.0,6.6,7.2,7.85
5,1,60.5,4.8,5.2,5.6,6.1,6.7,7.3,8.0
5,1,61.0,4.9,5.3,5.8,6.3,6.9,7.5,8.2
5,1,61.5,5.0,5.4,5.9,6.4,7.0,7.65,8.35
5,1,62.0,5.1,5.6,6.0,6.5,7.15,7.8,8.5
5,1,62.5,5.2,5.7,6.1,6.7,7.3,7.95,8.7
5,1,63.0,5.3,5.8,6.2,6.8,7.4,8.1,8.85
5,1,63.5,5.4,5.9,6.4,6.9,7.55,8.25,9.0
5,1,64.0,5.5,6.0,6.5,7.0,7.7,8.4,9.15
5,1,64.5,5.6,6.1,6.6,7.1,7.8,8.5,9.3
5,1,65.0,5.7,6.2,6.7,7.3,7.95,8.65,9.45
5,1,65.5,5.8,6.3,6.8,7.4,8.1,8.8,9.6
5,1,66.0,5.9,6.4,6.9,7.5,8.2,8.9,9.75
5,1,66.5,6.0,6.5,7.0,7.6,8.35,9.1,9.9
5,1,67.0,6.1,6.6,7.1,7.7,8.5,9.2,10.05
5,1,67.5,6.2,6.7,7.2,7.9,8.6,9.35,10.2
5,1,68.0,6.3,6.8,7.3,8.0,8.7,9.5,10.4
5,1,68.5,6.4,6.9,7.5,8.1,8.85,9.6,10.5
5,1,69.0,6.5,7.0,7.6,8.2,9.0,9.75,10.7
5,1,69.5,6.6,7.1,7.7,8.3,9.1,9.9,10.8
5,1,70.0,6.6,7.2,7.8,8.4,9.2,10.0,10.95
5,1,70.5,6.7,7.3,7.9,8.5,9.3,10.2,11.1
5,1,71.0,6.8,7.4,8.0,8.6,9.45,10.3,11.25
5,1,71.5,6.9,7.5,8.1,8.8,9.6,10.4,11.4
5,1,72.0,7.0,7.6,8.2,8.9,9.9,10.75,11.75
5,1,72.5,7.1,7.6,8.3,9.0,10.0,10.9,11.9
5,1,73.0,7.2,7.7,8.4,9.1,10.1,11.0,12.0
5,1,73.5,7.2,7.8,8.5,9.2,10.2,11.1,12.2
5,1,74.0,7.3,7.9,8.6,9.3,10.3,11.25,12.3
5,1,74.5,7.4,8.0,8.7,9.4,10.4,11.4,12.45
5,1,75.0,7.5,8.1,8.8,9.5,10.55,11.5,12.6
5,1,75.5,7.6,8.2,8.8,9.6,10.65,11.6,12.7
5,1,76.0,7.6,8.3,8.9,9.7,10.8,11.7,12.8
5,1,76.5,7.7,8.3,9.0,9.8,10.9,11.8,12.95
5,1,77.0,7.8,8.4,9.1,9.9,11.0,11.95,13.1
5,1,77.5,7.9,8.5,9.2,10.0,11.05,12.05,13.2
5,1,78.0,7.9,8.6,9.3,10.1,11.15,12.15,13.3
5,1,78.5,8.0,8.7,9.4,10.2,11.15,12.25,13.4
5,1,79.0,8.1,8.7,9.5,10.3,11.35,12.35,13.5
5,1,79.5,8.2,8.8,9.5,10.4,11.45,12.5,13.65
5,1,80.0,8.2,8.9,9.6,10.4,11.55,12.6,13.8
5,1,80.5,8.3,9.0,9.7,10.5,11.65,12.7,13.9
5,1,81.0,8.4,9.1,9.8,10.6,11.75,12.8,14.0
5,1,81.5,8.5,9.1,9.9,10.7,11.85,12.9,14.15
5,1,82.0,8.5,9.2,10.0,10.8,11.95,13.05,14.25
5,1,82.5,8.6,9.3,10.1,10.9,12.1,13.2,14.4
5,1,83.0,8.7,9.4,10.2,11.0,12.2,13.3,14.55
5,1,83.5,8.8,9.5,10.3,11.2,12.3,13.45,14.7
5,1,84.0,8.9,9.6,10.4,11.3,12.45,13.55,14.8
5,1,84.5,9.0,9.7,10.5,11.4,12.6,13.7,14.95
5,1,85.0,9.2,10.0,10.8,11.7,12.7,13.85,15.1
5,1,85.5,9.3,10.1,10.9,11.8,12.85,14.0,15.25
5,1,86.0,9.4,10.2,11.0,11.9,13.0,14.1,15.4
5,1,86.5,9.5,10.3,11.1,12.0,13.1,14.25,15.55
5,1,87.0,9.6,10.4,11.2,12.2,13.25,14.4,15.7
5,1,87.5,9.7,10.5,11.3,12.3,13.35,14.55,15.9
5,1,88.0,9.8,10.6,11.5,12.4,13.5,14.7,16.0
5,1,88.5,9.9,10.7,11.6,12.5,13.65,14.8,16.15
5,1,89.0,10.0,10.8,11.7,12.6,13.75,14.95,16.3
5,1,89.5,10.1,10.9,11.8,12.8,13.9,15.1,16.45
5,1,90.0,10.2,11.0,11.9,12.9,14.0,15.25,16.6
5,1,90.5,10.3,11.1,12.0,13.0,14.15,15.4,16.8
5,1,91.0,10.4,11.2,12.1,13.1,14.25,15.5,16.9
5,1,91.5,10.5,11.3,12.2,13.2,14.4,15.65,17.1
5,1,92.0,10.6,11.4,12.3,13.4,14.55,15.8,17.2
5,1,92.5,10.7,11.5,12.4,13.5,14.65,15.9,17.4
5,1,93.0,10.8,11.6,12.6,13.6,14.8,16.1,17.5
5,1,93.5,10.9,11.7,12.7,13.7,14.9,16.2,17.7
5,1,94.0,11.0,11.8,12.8,13.8,15.05,16.35,17.8
5,1,94.5,11.1,11.9,12.9,13.9,15.15,16.5,18.0
5,1,95.0,11.1,12.0,13.0,14.1,15.3,16.65,18.15
5,1,95.5,11.2,12.1,13.1,14.2,15.4,16.8,18.3
5,1,96.0,11.3,12.2,13.2,14.3,15.55,16.95,18.5
5,1,96.5,11.4,12.3,13.3,14.4,15.7,17.1,18.65
5,1,97.0,11.5,12.4,13.4,14.6,15.85,17.25,18.8
5,1,97.5,11.6,12.5,13.6,14.7,16.0,17.4,19.0
5,1,98.0,11.7,12.6,13.7,14.8,16.1,17.6,19.2
5,1,98.5,11.8,12.8,13.8,14.9,16.3,17.7,19.4
5,1,99.0,11.9,12.9,13.9,15.1,16.4,17.9,19.55
5,1,99.5,12.0,13.0,14.0,15.2,16.6,18.1,19.7
5,1,100.0,12.1,13.1,14.2,15.4,16.75,18.25,19.9
5,1,100.5,12.2,13.2,14.3,15.5,16.9,18.4,20.1
5,1,101.0,12.3,13.3,14.4,15.6,17.05,18.6,20.35
5,1,101.5,12.4,13.4,14.5,15.8,17.2,18.8,20.5
5,1,102.0,12.5,13.6,14.7,15.9,17.4,19.05,20.75
5,1,102.5,12.6,13.7,14.8,16.1,17.55,19.15,20.95
5,1,103.0,12.8,13.8,14.9,16.2,17.7,19.3,21.2
5,1,103.5,12.9,13.9,15.1,16.4,17.9,19.5,21.4
5,1,104.0,13.0,14.0,15.2,16.5,18.05,19.75,21.6
5,1,104.5,13.1,14.2,15.4,16.7,18.2,19.9,21.8
5,1,105.0,13.2,14.3,15.5,16.8,18.4,20.1,22.05
5,1,105.5,13.3,14.4,15.6,17.0,18.6,20.3,22.3
5,1,106.0,13.4,14.5,15.8,17.2,18.8,20.5,22.5
5,1,106.5,13.5,14.7,15.9,17.3,18.95,20.75,22.75
5,1,107.0,13.7,14.8,16.1,17.5,19.1,20.9,23.0
5,1,107.5,13.8,14.9,16.2,17.7,19.3,21.15,23.2
5,1,108.0,13.9,15.1,16.4,17.8,19.5,21.4,23.5
5,1,108.5,14.0,15.2,16.5,18.0,19.7,21.6,23.7
5,1,109.0,14.1,15.3,16.7,18.2,19.9,21.8,24.0
5,1,109.5,14.3,15.5,16.8,18.3,20.1,22.0,24.2
5,1,110.0,14.4,15.6,17.0,18.5,20.3,22.25,24.5
5,1,110.5,14.5,15.8,17.1,18.7,20.5,22.5,24.75
5,1,111.0,14.6,15.9,17.3,18.9,20.7,22.7,25.0
5,1,111.5,14.8,16.0,17.5,19.1,20.9,22.95,25.3
5,1,112.0,14.9,16.2,17.6,19.2,20.15,23.2,25.55
5,1,112.5,15.0,16.3,17.8,19.4,21.35,23.45,25.85
5,1,113.0,15.2,16.5,18.0,19.6,21.55,23.7,26.1
5,1,113.5,15.3,16.6,18.1,19.8,21.75,23.9,26.4
5,1,114.0,15.4,16.8,18.3,20.0,22.0,24.2,26.65
5,1,114.5,15.6,16.9,18.5,20.2,22.2,24.4,26.95
5,1,115.0,15.7,17.1,18.6,20.4,22.4,24.65,27.25
5,1,115.5,15.8,17.2,18.8,20.6,22.65,24.9,27.55
5,1,116.0,16.0,17.4,19.0,20.8,22.9,25.2,27.8
5,1,116.5,16.1,17.5,19.2,21.0,23.1,25.45,28.1
5,1,117.0,16.2,17.7,19.3,21.2,23.3,25.7,28.4
5,1,117.5,16.4,17.9,19.5,21.4,23.55,25.95,28.7
5,1,118.0,16.5,18.0,19.7,21.6,23.75,26.2,29.0
